Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Spotify Link,Song Image,Spotify URI,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
Prisoner of Love - Remastered - 1992,Today & Yesterday,1993-10-25,['Perry Como'],"['adult standards', 'easy listening']",1946,1,211866,https://open.spotify.com/track/6doXi6MzsJzr7t9wUljqeP,https://i.scdn.co/image/ab67616d00001e022027745ea676490e7d3376ed,spotify:track:6doXi6MzsJzr7t9wUljqeP,19,0.767,0.247,0.182,0.00209,0.167,-11.121,0.0328,80.064,0.185,2,1,4
To Each His Own,The Best Of The Mercury Years,1996-01-01,['Eddy Howard'],['british dance band'],1946,2,184293,https://open.spotify.com/track/4xRdYnoXKNDPPrEicGPGCe,https://i.scdn.co/image/ab67616d00001e02fd29e53482aed8a23e067100,spotify:track:4xRdYnoXKNDPPrEicGPGCe,25,0.947,0.344,0.0596,5.95e-05,0.181,-16.766,0.0394,81.037,0.15,3,1,4
The Gypsy,The Anthology,1998-06-16,['The Ink Spots'],"['vocal harmony group', 'lounge']",1946,3,164533,https://open.spotify.com/track/4kuoSXnEyTKWypYkvjjnwd,https://i.scdn.co/image/ab67616d00001e02383811a9b3081023c612fb7b,spotify:track:4kuoSXnEyTKWypYkvjjnwd,33,0.812,0.531,0.125,0.0,0.103,-15.463,0.0552,76.056,0.222,7,1,4
Five Minutes More,The Columbia Years (1943-1952): The Complete Recordings: Volume 4,1993-10-08,['Frank Sinatra'],"['adult standards', 'lounge', 'easy listening']",1946,4,154773,https://open.spotify.com/track/08jcVB28seFgQ5WrQiLKZQ,https://i.scdn.co/image/ab67616d00001e02fedb75caa2d5ee8b3339a97d,spotify:track:08jcVB28seFgQ5WrQiLKZQ,31,0.794,0.67,0.0625,0.0,0.0762,-20.393,0.0611,142.894,0.569,9,1,4
Rumors Are Flying,1946 Broadcasts,2006-11-30,['Frankie Carle'],"['space age pop', 'honky-tonk piano']",1946,5,183133,https://open.spotify.com/track/7AoGplARvZSMmwYrsWjSfy,https://i.scdn.co/image/4667b766fefbef86aad582c8315aed3e9da52e73,spotify:track:7AoGplARvZSMmwYrsWjSfy,27,0.951,0.332,0.204,0.00252,0.638,-15.557,0.0437,72.355,0.377,11,1,4
Oh! What It Seemed to Be,12 Double-Barreled Hits of '64,1964-09-12,"['Frankie Carle, His Piano & Orchestra']",[],1946,6,115133,https://open.spotify.com/track/584qaYkg1VK6TGWBOtJIEB,https://i.scdn.co/image/ab67616d00001e027f0ea530d97606feff26fd46,spotify:track:584qaYkg1VK6TGWBOtJIEB,1,0.567,0.644,0.463,0.0392,0.412,-14.6,0.0304,105.297,0.811,7,1,3
Personality,Accentuate The Positive!,1957-01-01,"['Johnny Mercer', 'The Pied Pipers']","['vocal harmony group', 'swing', 'tin pan alley', 'big band']",1946,7,169626,https://open.spotify.com/track/2qkqnpWaSM6zWqDpQWaFEL,https://i.scdn.co/image/ab67616d00001e023b0618f6afaec59d127006e9,spotify:track:2qkqnpWaSM6zWqDpQWaFEL,51,0.894,0.741,0.147,0.0,0.126,-16.563,0.0613,134.465,0.827,5,1,4
"South America, Take It Away - Single Version",Bing-His Legendary Years 1931-1957,1993-01-01,"['Bing Crosby', 'The Andrews Sisters', 'Vic Schoen & His Orchestra']","['torch song', 'vocal harmony group', 'adult standards', 'easy listening', 'swing', 'lounge']",1946,8,187293,https://open.spotify.com/track/5Z7MNRwfaVL1tEKsc6G7EQ,https://i.scdn.co/image/ab67616d00001e02f2d081693e25cc52d620802f,spotify:track:5Z7MNRwfaVL1tEKsc6G7EQ,22,0.742,0.748,0.4,0.0,0.107,-11.47,0.117,78.382,0.842,1,1,4
The Gypsy - 78rpm Version,The Essential Dinah Shore,2014-04-18,['Dinah Shore'],"['adult standards', 'torch song', 'easy listening', 'vocal jazz']",1946,9,177266,https://open.spotify.com/track/5WDlMTRBAcI91qJeOIqWEG,https://i.scdn.co/image/ab67616d00001e021a89a13ef98d3eb2dc5c7e9a,spotify:track:5WDlMTRBAcI91qJeOIqWEG,10,0.957,0.365,0.143,0.0011,0.126,-14.636,0.0407,80.105,0.231,9,1,4
"Oh, What It Seemed To Be",The Columbia Years (1943-1952): The Complete Recordings: Volume 3,1993,['Frank Sinatra'],"['adult standards', 'lounge', 'easy listening']",1946,10,178760,https://open.spotify.com/track/5iX7Vgzd7aHIq0Y0wvFOvK,https://i.scdn.co/image/ab67616d00001e02809774b4973b24ef06fc07ca,spotify:track:5iX7Vgzd7aHIq0Y0wvFOvK,19,0.94,0.331,0.0901,0.0,0.173,-18.921,0.0393,122.16,0.251,1,1,4
Surrender,Perry Como's Greatest Hits,1999-09-28,['Perry Como'],"['adult standards', 'easy listening']",1946,11,191306,https://open.spotify.com/track/54ASUXVZNSUruVQ42N1QDJ,https://i.scdn.co/image/ab67616d00001e02c143b8172ccb7ac602cffec5,spotify:track:54ASUXVZNSUruVQ42N1QDJ,18,0.987,0.273,0.106,0.141,0.265,-17.009,0.0386,80.062,0.112,7,1,1
"Doctor, Lawyer, Indian Chief",A Square In The Social Circle (Expanded Edition),1950-01-01,['Betty Hutton'],['vintage hollywood'],1946,12,186186,https://open.spotify.com/track/61d3zbeymdgxsnXw5hFvMy,https://i.scdn.co/image/ab67616d00001e02410be1056698ccd868d06093,spotify:track:61d3zbeymdgxsnXw5hFvMy,30,0.822,0.7,0.291,0.0,0.0639,-9.72,0.231,176.253,0.943,8,1,4
"Let It Snow, Let It Snow, Let It Snow",Presenting Vaughn Monroe,1949-12-03,['Vaughn Monroe'],"['swing', 'vaudeville', 'deep adult standards', 'british dance band']",1946,13,184760,https://open.spotify.com/track/0RYbdAzWT0MBJzdr4vZJQB,https://i.scdn.co/image/ab67616d00001e02e8f1be013a333a3545850997,spotify:track:0RYbdAzWT0MBJzdr4vZJQB,15,0.985,0.591,0.148,0.00463,0.516,-10.665,0.0298,117.689,0.501,2,1,4
