Rank,Song,Artist,Year
1,Prisoner of Love,Perry Como,1946
2,To Each His Own,Eddy Howard,1946
3,The Gypsy,Ink Spots,1946
4,Five Minutes More,Frank Sinatra,1946
5,Rumors Are Flying,Frankie Carle,1946
6,Oh! What It Seemed to Be,Frankie Carle,1946
7,Personality,Johnny Mercer and The Pied Pipers,1946
8,"South America, Take It Away",Bing Crosby and The Andrews Sisters,1946
9,The Gypsy,Dinah Shore,1946
10,Oh! What It Seemed to Be,Frank Sinatra,1946
11,Surrender,Perry Como,1946
12,"Doctor, Lawyer, Indian Chief",Betty Hutton,1946
13,Let It Snow! Let It Snow! Let It Snow!,Vaughn Monroe,1946
14,To Each His Own,Freddy Martin,1946
15,Ole Buttermilk Sky,Kay Kyser,1946
16,To Each His Own,Ink Spots,1946
17,Symphony,Freddy Martin,1946
18,The Old Lamp-Lighter,Sammy Kaye,1946
19,I Can't Begin to Tell You,Bing Crosby and Carmen Cavallaro,1946
19,I'm a Big Girl Now,Sammy Kaye,1946
20,Symphony,Bing Crosby,1946
21,The Gypsy,Sammy Kaye,1946
21,Doin' What Comes Natur'lly,Dinah Shore with the Spade Cooley Orchestra,1946
22,Laughing on the Outside (Crying on the Inside),Dinah Shore,1946
23,Five Minutes More,Tex Beneke with the Glenn Miller Orchestra,1946
24,Laughing on the Outside (Crying on the Inside),Andy Russell,1946
25,Hey! Ba-Ba-Re-Bop,Tex Beneke with the Glenn Miller Orchestra,1946
25,They Say It's Wonderful,Perry Como,1946
25,To Each His Own,Tony Martin,1946
26,You Won't Be Satisfied (Until You Break My Heart), Les Brown,1946
27,Symphony,Benny Goodman,1946
28,Oh! What It Seemed to Be,Charlie Spivak,1946
28,Doin' What Comes Natur'lly,Freddy Martin,1946
28,The Old Lamp-Lighter,Kay Kyser,1946
29,Oh! What It Seemed to Be,Dick Haymes and Helen Forrest,1946
30,Rumors Are Flying,The Andrews Sisters and Les Paul Trio,1946
31,Dig You Later (A Hubba-Hubba-Hubba),Perry Como,1946
32,Symphony,Jo Stafford,1946
33,To Each His Own,The Modernaires and Paula Kelly,1946
34,Sioux City Sue,Bing Crosby and the Jesters,1946
35,(I Love You) For Sentimental Reasons,King Cole Trio,1946
1,Near You,Francis Craig,1947
2,Peg o' My Heart,The Harmonicats,1947
3,Heartaches,Ted Weems,1947
4,Linda,Ray Noble Orchestra and Buddy Clark,1947
4,Smoke! Smoke! Smoke! (That Cigarette),Tex Williams,1947
5,I Wish I Didn't Love You So,Vaughn Monroe,1947
6,Peg o' My Heart,The Three Suns,1947
7,The Anniversary Song,Al Jolson,1947
8,Near You,Larry Green Orchestra,1947
9,That's My Desire,Sammy Kaye,1947
10,Ballerina,Vaughn Monroe,1947
11,"Managua, Nicaragua",Freddy Martin,1947
11,Mam'selle,Art Lund,1947
12,"Chi-Baba, Chi-Baba (My Bambino Go to Sleep)",Perry Como,1947
12,Temptation (Tim-Tayshun),Red Ingle and The Natural Seven and Jo Stafford,1947
13,I Wonder Who's Kissing Her Now,Ted Weems and Perry Como,1947
14,Near You,The Andrews Sisters,1947
15,The Old Lamp-Lighter,Sammy Kaye,1947
16,When You Were Sweet Sixteen,Perry Como,1947
17,How Soon,Jack Owens,1947
18,Too Fat Polka,Arthur Godfrey,1947
19,"I Wonder, I Wonder, I Wonder",Eddy Howard,1947
19,My Adobe Hacienda,Eddy Howard,1947
20,Huggin' and Chalkin',Hoagy Carmichael,1947
21,(I Love You) For Sentimental Reasons,King Cole Trio,1947
21,Ole Buttermilk Sky,Hoagy Carmichael,1947
22,Mam'selle,Dick Haymes,1947
22,You Do,Vaughn Monroe,1947
23,The Anniversary Song,Guy Lombardo,1947
24,The Anniversary Song,Dinah Shore,1947
24,White Christmas,Bing Crosby,1947
25,Across the Alley from the Alamo,The Mills Brothers,1947
26,Civilization,The Andrews Sisters and Danny Kaye,1947
27,The Old Lamp-Lighter,Kay Kyser,1947
28,"Open the Door, Richard",Count Basie,1947
28,Peg o' My Heart,Art Lund,1947
28,You Do,Margaret Whiting,1947
29,Feudin' and Fightin',Dorothy Shay,1947
30,Linda,Charlie Spivak,1947
31,The Anniversary Song,Tex Beneke with the Glenn Miller Orchestra,1947
31,"Managua, Nicaragua",Guy Lombardo,1947
32,How Soon,Vaughn Monroe,1947
32,The Whiffenpoof Song,Bing Crosby,1947
33,"Open the Door, Richard",Dusty Fletcher,1947
34,(I Love You) For Sentimental Reasons,Eddy Howard,1947
35,Golden Earrings,Peggy Lee,1947
35,Ole Buttermilk Sky,Kay Kyser,1947
1,Twelfth Street Rag,Pee Wee Hunt,1948
2,Mañana (Is Soon Enough for Me),Peggy Lee,1948
3,Now Is the Hour,Bing Crosby,1948
4,A Tree in the Meadow,Margaret Whiting,1948
5,My Happiness,Jon and Sondra Steele,1948
6,"You Can't Be True, Dear",Ken Griffin and Jerry Wayne,1948
7,Little White Lies,Dick Haymes,1948
8,You Call Everybody Darlin',Al Trace,1948
9,My Happiness,The Pied Pipers,1948
10,I'm Looking Over a Four Leaf Clover,Art Mooney,1948
11,It's Magic,Doris Day,1948
12,Maybe You'll Be There,Gordon Jenkins,1948
13,Ballerina,Vaughn Monroe,1948
14,Nature Boy,King Cole,1948
15,Woody Woodpecker,Kay Kyser,1948
16,Love Somebody,Doris Day and Buddy Clark,1948
17,Now Is the Hour,Gracie Fields,1948
18,Beg Your Pardon,Francis Craig,1948
19,"You Can't Be True, Dear",Ken Griffin,1948
20,Toolie Oolie Doolie,The Andrews Sisters,1948
21,Buttons and Bows,Dinah Shore,1948
22,Golden Earrings,Peggy Lee,1948
23,Baby Face,Art Mooney,1948
23,Too Fat Polka,Arthur Godfrey,1948
24,Because,Perry Como,1948
24,My Happiness,Ella Fitzgerald,1948
25,Serenade of the Bells,Sammy Kaye,1948
26,Until,Tommy Dorsey,1948
27,William Tell Overture,Spike Jones,1948
28,Beg Your Pardon,Frankie Carle,1948
29,St. Louis Blues March,Tex Beneke,1948
29,Underneath the Arches,Primo Scala,1948
30,On a Slow Boat to China,Kay Kyser,1948
30,Woody Woodpecker,The Sportsmen and Mel Blanc,1948
31,I'll Dance at Your Wedding,Ray Noble and Buddy Clark,1948
32,The Dicky-Bird Song,Freddy Martin,1948
33,I'm Looking Over a Four Leaf Clover,Russ Morgan and Milt Herth,1948
34,How Soon,Vaughn Monroe,1948
35,Serenade of the Bells,Jo Stafford,1948
1,Riders in the Sky,Vaughn Monroe,1949
2,That Lucky Old Sun,Frankie Laine,1949
3,You're Breaking My Heart,Vic Damone,1949
4,Some Enchanted Evening,Perry Como,1949
5,Slippin' Around,Jimmy Wakely and Margaret Whiting,1949
6,"I Can Dream, Can't I?",The Andrews Sisters and Gordon Jenkins,1949
7,Cruising Down the River,Russ Morgan Orchestra,1949
8,A Little Bird Told Me,Evelyn Knight and The Stardusters,1949
9,Mule Train,Frankie Laine,1949
10,Jealous Heart,Al Morgan,1949
11,Cruising Down the River,Blue Barron Orchestra,1949
12,Someday,Vaughn Monroe,1949
13,Again,Gordon Jenkins Orchestra,1949
14,Forever and Ever,Russ Morgan,1949
15,Forever and Ever,Perry Como,1949
16,"Don't Cry, Joe",Gordon Jenkins Orchestra,1949
17,Room Full of Roses,Sammy Kaye,1949
18,Far Away Places,Bing Crosby and Ken Darby Choir,1949
19,Buttons and Bows,Dinah Shore,1949
20,Galway Bay,Bing Crosby,1949
21,Red Roses for a Blue Lady,Vaughn Monroe,1949
22,So Tired,Russ Morgan,1949
23,Powder Your Face with Sunshine,Evelyn Knight,1949
24,"Baby, It's Cold Outside",Johnny Mercer and Margaret Whiting,1949
25,Whispering Hope,Jo Stafford and Gordon MacRae,1949
26,Maybe It's Because,Dick Haymes,1949
27,Careless Hands,Sammy Kaye Orchestra,1949
28,'A' You're Adorable,Perry Como and The Fontane Sisters,1949
29,The Hucklebuck,Tommy Dorsey Orchestra and Charlie Shavers,1949
30,I Don't See Me in Your Eyes Anymore,Gordon Jenkins Orchestra and The Stardusters,1949
1,Goodnight Irene,Gordon Jenkins & The Weavers,1950
2,Mona Lisa,Nat King Cole,1950
3,Third Man Theme,Anton Karas,1950
4,Sam's Song,Gary & Bing Crosby,1950
5,Simple Melody,Gary & Bing Crosby,1950
6,"Music, Music, Music",Teresa Brewer,1950
7,Third Man Theme,Guy Lombardo,1950
8,Chattanoogie Shoe Shine Boy,Red Foley,1950
9,Harbor Lights,Sammy Kaye,1950
10,It Isn't Fair,Sammy Kaye & Don Cornell,1950
11,If I Knew You Were Coming I'd have Baked a Cake,Eileen Barton,1950
12,Bonaparte's Retreat,Kay Starr,1950
13,"Tzena, Tzena, Tzena",Gordon Jenkins & The Weavers,1950
14,There's No Tomorrow,Tony Martin,1950
15,The Thing,Phil Harris,1950
16,Sentimental Me,Ames Brothers,1950
17,I Wanna Be Loved,Andrews Sisters & Gordon Jenkins,1950
18,Tennessee Waltz,Patti Page,1950
19,"I Can Dream, Can't I",Andrews Sisters & Gordon Jenkins,1950
20,I'll Never Be Free,Tennessee Ernie Ford & Kay Starr,1950
21,All My Love,Patti Page,1950
22,My Foolish Heart,Gordon Jenkins,1950
23,Rag Mop,Ames Brothers,1950
24,Bewitched,Bill Snyder,1950
25,Hoop-Dee-Doo,Perry Como,1950
26,Bewitched,Gordon Jenkins,1950
27,Can Anyone Explain?,Ames Brothers,1950
28,My Foolish Heart,Billy Eckstine,1950
29,Dear Hearts and Gentle People,Bing Crosby,1950
30,The Cry of the Wild Goose,Frankie Laine,1950
1,Too Young,Nat King Cole,1951
2,Because of You,Tony Bennett,1951
3,How High the Moon,Les Paul & Mary Ford,1951
4,Come on-a My House,Rosemary Clooney,1951
5,Be My Love,Mario Lanza,1951
